Price,Age,KM,FuelType1,FuelType2,HP,MetColor,Automatic,CC,Doors,Weight
13500,23,46986,0,1,90,1,0,2000,3,1165
13750,23,72937,0,1,90,1,0,2000,3,1165
13950,24,41711,0,1,90,1,0,2000,3,1165
14950,26,48000,0,1,90,0,0,2000,3,1165
13750,30,38500,0,1,90,0,0,2000,3,1170
12950,32,61000,0,1,90,0,0,2000,3,1170
16900,27,94612,0,1,90,1,0,2000,3,1245
18600,30,75889,0,1,90,1,0,2000,3,1245
21500,27,19700,0,0,192,0,0,1800,3,1185
12950,23,71138,0,1,69,0,0,1900,3,1105
20950,25,31461,0,0,192,0,0,1800,3,1185
19950,22,43610,0,0,192,0,0,1800,3,1185
19600,25,32189,0,0,192,0,0,1800,3,1185
21500,31,23000,0,0,192,1,0,1800,3,1185
22500,32,34131,0,0,192,1,0,1800,3,1185
22000,28,18739,0,0,192,0,0,1800,3,1185
22750,30,34000,0,0,192,1,0,1800,3,1185
17950,24,21716,0,0,110,1,0,1600,3,1105
16750,24,25563,0,0,110,0,0,1600,3,1065
16950,30,64359,0,0,110,1,0,1600,3,1105
15950,30,67660,0,0,110,1,0,1600,3,1105
16950,29,43905,0,0,110,0,1,1600,3,1170
15950,28,56349,0,0,110,1,0,1600,3,1120
16950,28,32220,0,0,110,1,0,1600,3,1120
16250,29,25813,0,0,110,1,0,1600,3,1120
15950,25,28450,0,0,110,1,0,1600,3,1120
17495,27,34545,0,0,110,1,0,1600,3,1120
15750,29,41415,0,0,110,1,0,1600,3,1120
16950,28,44142,0,0,110,0,0,1600,3,1120
17950,30,11090,0,0,110,1,0,1600,3,1120
12950,29,9750,0,0,97,1,0,1400,3,1100
15750,22,35199,0,0,97,1,0,1400,3,1100
15950,27,29510,0,0,97,1,0,1400,3,1100
14950,26,32692,0,0,97,1,0,1400,3,1100
15500,22,41000,0,0,97,1,0,1400,3,1100
15750,26,43000,0,0,97,0,0,1400,3,1100
15950,25,25000,0,0,97,0,0,1400,3,1100
14950,23,10000,0,0,97,1,0,1400,3,1100
15750,32,25329,0,0,97,1,0,1400,3,1100
14750,27,27500,0,0,97,0,0,1400,3,1100
13950,22,49059,0,0,97,0,0,1400,3,1100
16750,27,44068,0,0,97,1,0,1400,3,1100
13950,22,46961,0,0,97,0,0,1400,3,1100
16950,27,110404,0,1,90,0,0,2000,5,1255
16950,22,100250,0,1,90,0,0,2000,5,1255
19000,23,84000,0,1,90,0,0,2000,5,1270
17950,27,79375,0,1,90,1,0,2000,5,1255
15800,22,75048,0,0,97,1,0,1400,5,1110
17950,22,72215,0,1,90,1,0,2000,5,1255
21950,31,64982,0,0,192,1,0,1800,5,1195
17950,22,62636,0,1,90,1,0,2000,5,1255
15750,30,57086,0,0,97,1,0,1400,5,1110
20500,26,56000,0,0,110,1,1,1600,5,1180
21950,27,49866,0,0,192,1,0,1800,5,1195
15500,25,49163,0,0,110,0,1,1600,5,1165
13250,32,45725,0,0,110,1,0,1600,5,1075
15250,28,43210,0,0,97,0,0,1400,5,1110
15250,26,43000,0,0,97,0,0,1400,5,1110
18950,23,39704,0,0,110,1,1,1600,5,1180
15999,30,38950,0,0,110,1,0,1600,5,1130
14950,22,37400,0,0,97,1,0,1400,5,1110
16500,27,37177,0,0,110,0,0,1600,5,1130
18750,31,36544,0,0,110,1,0,1600,5,1130
17950,30,33511,0,0,110,1,0,1600,5,1130
17950,27,32809,0,0,97,1,0,1400,5,1110
16950,26,32181,0,0,110,1,0,1600,5,1075
18950,28,30993,0,0,110,1,0,1600,5,1130
14950,22,30400,0,0,97,1,0,1400,5,1110
22250,22,30000,0,1,110,1,0,2000,5,1275
15950,25,29719,0,0,97,1,0,1400,5,1110
15950,28,29206,0,0,97,1,0,1400,5,1110
12995,32,29198,0,0,97,1,0,1400,5,1060
18950,28,28817,0,0,110,1,0,1598,5,1130
15750,23,28227,0,0,97,1,0,1400,5,1110
19950,28,28000,0,0,110,0,0,1600,5,1130
16950,23,28000,0,0,110,1,0,1600,5,1115
18750,31,25266,0,0,110,1,0,1600,5,1130
18450,27,23489,0,0,110,0,0,1600,5,1115
16895,29,22575,0,0,110,1,0,1600,5,1115
14900,30,22000,0,0,97,1,0,1400,5,1110
18950,25,20019,0,0,110,1,1,1600,5,1180
17250,29,20000,0,0,110,1,0,1600,5,1115
15450,25,17003,0,0,97,1,0,1400,5,1110
17950,31,16238,0,0,110,1,1,1600,5,1180
16650,25,15414,0,0,97,1,0,1400,5,1110
17450,28,8537,0,0,110,1,0,1600,5,1130
14900,30,7000,0,0,97,1,0,1400,5,1100
17950,20,66966,0,1,90,1,0,2000,3,1245
15950,19,51884,0,0,97,1,0,1400,3,1100
21950,19,50005,0,1,110,1,0,2000,3,1265
16450,20,48110,0,0,97,1,0,1400,3,1100
22250,20,37500,0,1,90,1,0,2000,3,1260
19950,16,34472,0,1,90,1,0,1995,3,1260
15950,20,33329,0,0,97,1,0,1400,3,1100
18900,20,31850,0,0,110,0,0,1600,3,1120
19950,17,30351,0,1,90,1,0,1995,3,1260
15950,19,29435,0,0,97,1,0,1400,3,1100
15950,19,25948,0,0,97,1,0,1400,3,1100
18750,11,24500,0,0,110,1,0,1600,3,1120
17450,18,23902,0,0,97,1,0,1400,3,1100
18990,20,23175,0,0,110,1,0,1600,3,1120
16250,19,19200,0,0,97,1,0,1400,3,1100
18500,13,18000,0,0,71,0,0,1400,3,1125
18500,11,16123,0,0,110,1,0,1600,3,1105
19450,11,14635,0,0,110,1,1,1600,3,1155
16950,19,13748,0,0,97,1,0,1400,3,1100
18800,14,11500,0,0,110,1,0,1600,3,1045
17450,17,10000,0,0,97,1,0,1400,3,1100
17950,20,7187,0,0,110,1,0,1600,3,1105
32500,4,1,0,1,116,0,0,2000,5,1480
31000,4,4000,0,1,116,1,0,2000,5,1480
31275,4,1500,0,1,116,1,0,2000,5,1480
24950,8,13253,0,1,116,1,0,2000,5,1320
24950,8,13253,0,1,116,1,0,2000,5,1320
22950,7,10000,0,1,116,1,0,2000,5,1270
24990,8,6000,0,1,90,1,0,2000,5,1280
21950,8,10841,0,1,90,1,0,2000,5,1270
17900,7,1,0,0,110,1,0,1600,3,1105
19250,20,63000,0,1,90,1,0,2000,5,1255
22250,17,57313,0,1,110,1,0,2000,5,1275
18950,13,57037,0,0,110,0,0,1600,5,1115
19950,19,51099,0,1,90,1,0,2000,5,1255
16350,14,40010,0,0,110,1,0,1600,5,1115
18950,20,39115,0,0,110,1,0,1600,5,1130
16950,17,36012,0,0,110,0,0,1600,5,1130
21750,16,36000,0,0,110,1,0,1600,5,1130
15950,20,36000,0,0,110,1,0,1600,5,1075
16500,20,35000,0,0,97,1,0,1400,5,1110
17950,17,33740,0,0,97,1,0,1400,5,1135
15850,13,33477,0,0,110,1,0,1600,5,1075
16250,20,32627,0,0,97,1,0,1400,5,1110
15950,20,29797,0,0,97,1,0,1400,5,1110
16250,19,29441,0,0,97,1,0,1400,5,1110
15950,13,29371,0,0,110,1,0,1600,4,1105
16500,20,29000,0,0,97,0,0,1400,5,1110
16500,19,27821,0,0,97,0,0,1400,5,1110
18450,19,27371,0,0,97,0,0,1400,5,1135
16250,13,25170,0,0,110,1,0,1600,5,1105
23000,11,25000,0,1,116,1,0,2000,5,1320
19900,20,23000,0,0,110,1,0,1600,5,1130
16450,20,22588,0,0,97,1,0,1400,5,1110
23950,19,21684,0,0,192,1,0,1800,5,1185
19950,13,21428,0,0,110,1,0,1600,5,1130
18500,16,20629,0,0,110,1,0,1600,4,1090
18950,15,20270,0,0,110,1,0,1600,5,1130
16450,16,20105,0,0,97,0,0,1400,5,1110
20500,20,20000,0,0,110,0,1,1600,5,1165
24500,13,19988,0,0,110,1,0,1600,5,1130
19450,19,18328,0,0,110,0,0,1600,5,1130
20950,14,17896,0,0,110,1,1,1600,4,1150
17200,20,17300,0,0,97,1,0,1400,5,1110
19950,19,17038,0,0,110,0,0,1600,5,1130
18450,10,13747,0,0,97,1,0,1400,5,1110
19500,12,13634,0,0,110,1,0,1600,5,1115
21750,13,13178,0,0,110,1,0,1600,5,1130
16868,15,13157,0,0,97,1,0,1400,4,1085
19500,16,13000,0,0,110,1,0,1600,4,1105
18900,11,12500,0,0,110,1,0,1600,5,1115
19750,17,11999,0,0,110,1,0,1600,5,1130
19750,16,11754,0,0,110,0,1,1600,5,1180
18950,16,11000,0,0,110,1,0,1600,4,1105
20750,17,10000,0,0,110,0,0,1598,5,1105
19600,9,7650,0,0,110,1,0,1600,5,1115
19500,14,6500,0,0,110,1,0,1600,4,1100
17650,11,6155,0,0,97,1,0,1400,5,1110
19950,14,6000,0,0,110,0,0,1600,5,1130
19950,14,5459,0,0,110,1,0,1600,5,1130
20950,14,5278,0,0,110,1,1,1600,4,1150
20500,12,5000,0,0,110,1,0,1600,5,1130
17795,9,1,0,0,98,1,0,1400,4,1065
18245,9,1,0,0,110,1,0,1600,5,1075
23750,8,11000,0,0,110,1,0,1600,5,1130
19500,8,10077,0,0,97,1,0,1400,5,1110
18950,8,10000,0,0,97,1,0,1400,5,1110
21950,8,9788,0,0,110,1,0,1600,5,1130
19950,8,8574,0,0,110,1,0,1600,5,1130
18950,8,7000,0,0,110,0,0,1600,5,1115
19950,7,6250,0,0,110,1,0,1600,5,1115
21950,8,5000,0,0,110,1,0,1600,5,1130
22500,6,3000,0,0,110,0,0,1600,5,1130
18500,7,2000,0,0,110,0,0,1600,5,1075
18700,7,450,0,0,97,1,0,1400,5,1110
21125,2,225,0,0,97,1,0,1400,5,1110
21500,2,15,0,0,110,1,0,1600,5,1130
17795,1,1,0,0,98,1,0,1400,4,1100
18245,1,1,0,0,110,1,0,1600,5,1075
6950,43,243000,0,1,69,0,0,1900,3,1110
9500,38,180638,0,1,90,0,0,2000,4,1160
11950,40,179860,0,1,90,1,0,2000,5,1205
7750,43,178858,1,0,110,0,0,1600,3,1084
11950,40,161000,0,1,69,1,0,1900,3,1105
4350,44,158320,0,1,69,0,0,1800,5,1110
4750,44,131273,0,1,69,1,0,1800,5,1110
11750,40,130062,0,1,69,1,0,1900,5,1140
13250,41,123425,0,1,69,1,0,1900,5,1140
11950,37,118217,0,0,110,1,0,1600,5,1075
11900,44,110000,0,1,69,1,0,1900,5,1095
14750,39,108847,0,1,90,1,0,2000,5,1205
9950,42,105699,0,0,97,1,0,1400,3,1025
11950,39,98823,1,0,110,1,0,1600,5,1119
11495,44,96829,0,0,110,1,0,1600,5,1075
11250,40,96518,0,0,97,1,0,1400,3,1025
10500,42,92204,0,0,110,1,0,1600,5,1075
10450,35,91456,0,1,69,1,0,1900,3,1110
12950,43,89968,0,1,69,1,0,1900,5,1140
11500,44,89757,0,0,110,1,0,1600,3,1045
12500,40,85389,0,0,110,1,0,1600,5,1075
10950,43,85017,0,0,97,0,0,1400,5,1060
11450,41,84312,0,0,110,0,0,1600,5,1080
11950,37,82743,1,0,110,1,0,1600,5,1121
13250,41,81106,0,1,69,1,0,1900,5,1140
14750,40,80425,0,1,90,1,0,2000,5,1205
11790,34,78677,0,0,110,1,1,1600,5,1105
11450,40,78425,0,0,110,1,0,1600,5,1075
13500,33,78108,0,1,90,1,0,2000,3,1170
10950,33,77321,0,0,110,1,0,1600,5,1075
13500,33,75699,0,1,69,0,0,1900,3,1105
10950,41,75697,0,0,97,1,0,1400,3,1025
10950,44,74846,0,0,97,1,0,1400,3,1025
12950,38,74319,0,0,110,1,0,1600,5,1075
11950,43,74285,0,0,110,1,0,1600,5,1075
12450,44,74172,0,0,110,1,0,1600,5,1615
11950,40,73042,0,0,110,1,0,1598,5,1075
14950,44,71793,1,0,110,1,0,1600,4,1067
12450,35,71200,0,0,110,1,0,1600,5,1075
12950,38,67805,0,0,110,1,0,1600,5,1075
11950,35,65988,0,0,110,1,0,1600,3,1040
11690,34,65345,0,0,97,1,0,1400,5,1060
12450,42,64564,0,0,110,1,0,1600,5,1080
12750,36,63459,0,0,97,1,0,1400,5,1060
11925,44,63451,0,0,97,0,0,1400,3,1025
12950,33,62000,0,0,110,1,0,1600,5,1075
11950,42,61300,0,0,97,1,0,1400,3,1030
12900,41,61200,0,0,110,1,0,1600,3,1045
11900,41,61000,0,0,110,0,0,1600,5,1075
11650,38,60829,0,0,110,1,0,1600,5,1075
10950,44,60500,0,0,110,0,0,1600,5,1075
13950,35,59500,0,1,69,1,0,1900,3,1110
13950,44,59000,0,0,110,0,1,1600,5,1110
11950,40,58954,0,0,110,1,0,1600,5,1080
10950,38,58798,0,0,110,1,0,1600,5,1075
12450,38,58363,0,0,110,1,0,1600,3,1055
11950,43,58277,0,0,110,1,0,1600,3,1045
13500,33,57711,0,1,90,1,0,2000,3,1165
11690,33,57269,0,0,110,1,0,1600,5,1075
13500,39,56001,0,0,110,1,0,1600,5,1075
11950,42,55968,0,0,110,0,0,1600,3,1050
12900,39,55678,0,0,110,1,0,1600,4,1030
13500,43,55539,0,0,110,1,0,1600,5,1085
11750,42,55400,0,0,110,0,0,1600,5,1075
11750,33,55350,0,0,110,0,0,1600,5,1075
10850,43,54600,0,0,110,0,0,1600,4,1030
11750,43,53773,0,0,110,1,0,1600,5,1075
14950,42,53719,0,0,110,1,1,1600,5,1105
9940,39,53644,0,0,110,1,0,1600,5,1075
12900,42,53350,0,0,110,0,0,1600,5,1075
13500,38,53000,0,0,110,1,0,1600,5,1075
11750,44,52084,0,0,97,1,0,1400,3,1025
11950,44,52000,0,0,97,0,0,1400,3,1025
13450,33,51945,0,0,110,1,0,1600,5,1075
11950,41,51732,0,0,97,1,0,1400,3,1025
12495,39,50873,0,0,110,1,0,1600,5,1075
13500,41,50856,0,0,110,0,0,1600,4,1030
12750,40,50640,0,0,110,1,0,1600,5,1075
12000,39,50000,0,0,97,1,0,1400,5,1060
11950,38,49500,0,0,110,1,0,1600,5,1075
12495,44,49332,0,0,110,1,0,1600,5,1080
12450,34,49291,0,0,110,1,0,1600,3,1040
14750,40,48952,0,1,90,1,0,2000,5,1205
10950,39,48945,0,0,110,0,0,1600,3,1040
13500,33,48928,0,1,69,1,0,1900,3,1105
12950,38,48197,0,0,110,1,0,1600,5,1075
13500,35,48052,0,1,69,1,0,1900,3,1105
13450,34,48011,0,0,110,1,0,1600,4,1030
13500,43,48000,0,0,110,1,0,1600,5,1075
11480,41,47350,0,0,110,1,0,1600,5,1075
13450,39,46821,0,0,97,1,0,1400,5,1060
11495,39,46694,0,0,110,0,0,1600,3,1040
12750,43,46515,0,0,97,0,0,1400,5,1025
14990,38,46327,0,0,110,1,0,1600,3,1055
12950,35,46304,0,0,97,1,0,1400,5,1060
12950,40,45886,0,0,110,1,0,1600,5,1080
12850,39,45713,0,0,97,1,0,1400,5,1085
13950,40,45600,0,0,110,1,1,1600,5,1105
11950,41,45287,0,0,110,1,0,1600,5,1075
12950,39,45081,0,0,110,1,0,1600,5,1075
11700,40,44830,0,0,110,1,0,1600,5,1075
9950,37,44757,0,0,97,0,0,1400,3,1025
11895,44,44218,0,0,97,1,0,1400,5,1060
12950,43,43632,0,0,110,1,0,1600,5,1075
12500,36,43427,0,0,110,1,0,1600,3,1040
13875,39,43254,0,0,110,1,0,1600,5,1075
10500,35,43000,0,0,110,0,0,1600,3,1050
12295,33,42823,0,0,110,1,0,1600,5,1075
13950,42,42560,0,0,110,1,0,1600,5,1080
10950,38,41754,0,0,110,0,0,1600,3,1040
12950,44,41499,1,0,110,1,0,1600,5,1103
12850,40,41339,0,0,110,1,0,1600,5,1080
13995,35,41000,0,0,110,1,0,1600,5,1075
13750,39,40000,0,0,110,1,0,1600,3,1055
12750,37,39757,0,0,110,1,0,1600,5,1075
12500,41,39659,0,0,110,1,0,1600,3,1045
13950,43,39650,0,0,110,0,0,1600,3,1055
11500,39,39524,0,0,97,1,0,1398,3,1025
13950,44,39516,0,0,97,1,0,1400,5,1060
11895,41,39439,0,0,97,0,0,1400,5,1060
9950,44,39000,0,0,97,1,0,1400,3,1025
13500,42,38932,0,0,110,1,0,1600,3,1040
11450,37,38812,0,0,97,0,0,1400,3,1025
12450,42,38665,0,0,110,1,0,1600,5,1075
12950,40,38653,0,0,110,1,0,1600,5,1080
13995,44,38461,0,0,110,1,0,1600,5,1080
11750,42,38078,0,0,97,0,0,1400,3,1025
11650,39,37782,0,0,97,1,0,1400,5,1060
9950,43,37576,0,0,97,0,0,1400,3,1030
13950,41,37533,0,0,110,1,0,1600,5,1075
12950,44,37389,0,0,110,1,0,1600,5,1080
10950,38,37320,0,0,97,1,0,1400,3,1025
9900,42,37000,0,0,97,1,0,1400,3,1025
11950,44,37000,0,0,110,0,0,1600,4,1075
11990,40,36566,0,0,110,0,0,1600,5,1090
10750,36,36269,0,0,110,1,0,1600,5,1075
13950,37,36074,0,0,110,1,1,1600,5,1075
11250,44,36066,0,0,110,1,0,1600,3,1040
12950,39,34599,0,0,110,1,0,1600,5,1075
11950,41,34000,0,0,110,1,0,1600,5,1075
10950,42,33623,0,0,97,1,0,1400,3,1025
12950,33,33591,0,0,110,1,0,1600,5,1075
12950,35,33258,0,0,110,1,0,1600,5,1075
11695,43,33113,0,0,110,1,0,1600,5,1075
11000,41,33000,0,0,110,1,1,1600,5,1075
13950,35,32941,0,0,110,1,0,1600,5,1080
11950,38,32781,0,0,110,0,0,1600,5,1075
11750,40,32532,0,0,110,1,0,1600,3,1040
12400,34,32431,0,0,97,1,0,1400,5,1060
12500,35,32000,0,0,110,0,0,1600,3,1040
12900,33,31000,0,0,110,1,0,1600,5,1075
12200,41,30989,0,0,110,0,0,1600,3,1045
12750,43,30742,0,0,110,1,0,1600,3,1040
11950,42,30190,0,0,110,1,0,1600,5,1075
11900,41,29716,0,0,116,1,0,1600,5,1075
11950,44,29716,0,0,110,1,1,1600,3,1070
14950,42,29640,0,0,110,0,0,1600,3,1055
11950,41,29056,0,0,97,1,0,1400,5,1060
12950,33,28715,0,0,110,1,0,1600,5,1075
14950,41,28571,0,0,110,0,0,1600,5,1090
13450,40,28362,0,0,110,1,0,1600,3,1040
13750,38,28150,0,0,110,1,0,1600,5,1075
12950,43,27301,0,0,110,1,0,1600,3,1040
12750,33,27240,0,0,110,1,0,1600,5,1075
11895,39,27170,0,0,97,1,0,1400,5,1060
9950,42,27141,0,0,97,1,0,1400,5,1060
12450,38,26262,0,0,110,1,0,1600,5,1075
12500,38,26000,0,0,97,1,0,1400,5,1060
14950,43,25228,0,0,110,1,0,1600,3,1045
13750,39,25062,0,0,110,1,0,1600,5,1080
12695,39,24723,0,0,110,1,1,1600,4,1060
14990,33,24650,0,0,110,1,0,1600,3,1055
12750,43,24553,0,0,110,1,0,1600,5,1080
14350,41,24475,0,0,110,1,0,1600,5,1030
12950,39,24444,0,0,110,1,0,1600,3,1040
11500,35,24011,0,0,97,0,0,1400,3,1025
11950,41,24000,0,0,97,1,0,1400,3,1025
13450,40,23616,0,0,110,1,0,1600,5,1075
12900,38,22865,0,0,110,1,0,1600,5,1075
10500,41,22780,0,0,86,1,0,1300,5,1035
10950,35,21904,0,0,97,0,0,1400,3,1025
11950,41,21651,0,0,97,0,0,1400,3,1025
11450,37,21500,0,0,110,1,0,1600,5,1030
13250,44,21027,0,0,110,1,0,1600,5,1080
10250,39,18500,0,0,110,0,0,1600,4,1030
13995,35,18000,0,0,110,1,0,1600,5,1075
11950,40,17051,0,0,97,0,0,1400,5,1060
13250,33,16512,0,0,97,1,0,1400,5,1085
12950,40,16325,0,0,110,1,0,1600,5,1080
11750,38,16000,0,0,97,1,0,1400,5,1060
11500,39,12000,0,0,110,1,0,1600,5,1075
13500,43,10000,0,0,97,1,0,1400,5,1060
6500,53,216000,0,1,69,0,0,1900,3,1110
6400,51,198167,0,1,69,0,0,1900,4,1095
7000,53,176000,0,1,69,0,0,1900,3,1105
7750,54,174139,0,1,72,1,0,2000,4,1100
8900,45,174000,0,1,69,1,0,1900,5,1095
8500,55,150000,1,0,110,1,0,1600,3,1075
8950,54,149329,0,1,72,1,0,2000,5,1135
9900,51,146736,0,0,110,1,0,1600,5,1080
10250,53,143513,0,1,69,0,0,1900,5,1140
9250,48,142130,1,0,110,0,0,1600,5,1119
7750,48,140700,0,1,69,1,0,1900,5,1110
9450,54,138394,0,1,69,1,0,1900,4,1095
7750,55,137000,0,1,72,1,0,2000,5,1135
8250,52,135258,0,1,69,1,0,1900,5,1140
9950,49,131364,0,0,110,1,0,1600,5,1075
4450,56,129155,0,1,69,0,0,1800,5,1110
9950,50,126110,0,0,110,0,0,1600,3,1055
9000,48,119742,0,0,110,1,0,1600,5,1080
9950,53,117913,0,1,69,1,0,1900,5,1110
12450,47,117430,0,1,90,1,0,2000,3,1165
10500,55,117175,0,0,110,1,0,1600,4,1035
10750,54,115558,0,0,110,1,0,1600,4,1035
8950,53,115113,0,0,97,1,0,1400,3,1025
10500,54,115046,0,1,69,1,0,1900,5,1140
5150,56,113997,0,1,72,1,0,2000,5,1135
10950,49,107859,0,0,97,0,0,1400,5,1060
9450,52,104805,0,0,97,1,0,1400,3,1025
9950,54,103454,0,0,110,1,0,1600,5,1075
10950,51,103018,0,1,69,0,0,1900,5,1140
11900,47,102352,0,0,110,1,0,1600,5,1080
9950,50,102030,0,0,97,1,0,1400,5,1060
11950,54,101352,0,0,110,0,0,1600,5,1080
7900,50,99865,0,0,110,1,0,1600,4,1035
10950,52,99323,0,0,110,1,0,1600,3,1055
8950,48,98100,0,1,69,1,0,1900,5,1140
11950,51,98040,0,0,110,0,0,1600,5,1080
10900,49,97600,0,0,110,1,0,1600,3,1045
9950,55,97234,0,0,110,0,0,1600,5,1080
9950,51,96135,0,1,72,0,0,2000,3,1115
10950,54,96100,0,0,110,1,0,1600,5,1080
8950,55,94401,0,1,72,0,0,2000,3,1115
8950,55,94122,0,0,86,1,0,1300,3,1015
10500,49,91340,0,0,110,1,0,1600,3,1055
8950,53,90200,0,0,97,0,0,1400,3,1025
9250,53,90097,0,1,69,1,0,1900,5,1140
11500,48,89049,0,0,97,1,0,1400,5,1060
9750,52,89000,0,0,110,0,0,1600,5,1075
9950,45,87274,0,0,110,1,0,1600,3,1040
11450,49,86221,0,0,110,0,0,1600,3,1045
12500,54,84598,0,0,110,0,0,1600,5,1075
10500,50,83567,0,0,110,0,0,1600,5,1075
12950,50,83106,0,0,110,1,0,1600,5,1075
12200,50,82805,0,0,110,1,0,1600,3,1040
10950,50,82735,0,0,97,1,0,1400,3,1030
10950,54,81905,0,0,110,1,0,1600,5,1105
11290,49,80320,0,0,110,1,1,1600,3,1070
10750,49,80090,0,0,97,1,0,1400,3,1030
10895,53,79800,0,0,110,0,0,1600,5,1075
11500,47,78785,1,0,110,1,0,1600,5,1119
9750,48,78600,0,0,110,1,0,1600,5,1075
10250,55,77780,0,0,110,0,0,1600,3,1040
12500,49,77648,0,0,110,0,0,1600,4,1030
11950,54,77270,0,0,110,1,0,1600,4,1035
10750,50,76167,0,0,97,1,0,1400,5,1060
11450,46,75249,0,0,110,1,0,1600,4,1035
11950,54,75231,0,0,110,1,0,1600,5,1080
11750,48,75045,0,0,110,1,0,1600,3,1055
10950,50,74849,0,0,110,1,1,1600,4,1060
11950,55,74715,0,0,110,1,0,1600,5,1080
10995,49,74656,0,1,69,0,0,1900,3,1105
11450,56,74500,0,0,97,0,0,1400,3,1025
8900,49,74494,0,0,110,1,0,1600,5,1075
10500,50,73634,0,0,110,0,0,1587,5,1075
11750,47,73403,0,0,110,1,0,1600,5,1075
11450,49,73175,0,0,97,1,0,1400,3,1030
12000,52,73000,0,0,110,0,0,1600,3,1055
11950,50,72242,0,0,110,0,1,1600,3,1070
9850,53,72000,0,0,97,1,0,1400,3,1025
10950,54,71725,0,0,110,1,0,1600,4,1035
10950,54,71276,0,0,110,0,0,1600,5,1080
8695,50,70440,0,1,69,1,0,1900,3,1105
10990,53,70239,0,0,110,0,0,1600,3,1040
9500,55,69813,0,0,97,1,0,1400,3,1025
11950,49,69659,0,0,86,0,0,1300,3,1025
10750,46,69574,0,0,97,0,0,1400,5,1065
8750,47,69000,0,1,69,1,0,1900,5,1140
8750,49,68565,0,0,110,1,0,1600,4,1030
11450,55,68520,0,1,72,1,0,2000,3,1115
9950,46,68414,0,0,97,0,0,1400,3,1025
11950,56,66777,0,0,110,0,0,1600,5,1090
13950,52,66527,0,0,110,1,0,1600,5,1080
11250,54,66063,0,0,110,1,0,1600,5,1090
10900,50,65471,0,0,97,1,0,1400,5,1060
9750,56,65400,0,0,97,1,0,1400,3,1025
9950,52,65170,0,0,97,1,0,1400,3,1025
11950,56,65000,0,0,110,1,0,1600,5,1075
